,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Macedonia,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Antigua & Barbuda,Denmark,Kosovo,Vietnam,Dominican Rep.
2023-02-28,15.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,1.0,,0.0,0.0,,217.0,566.0,2.0,,29.0,,29.0,,0.0,0.0,,0.0,,,326.0,0.0,1.0,,0.0,113.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,16.0,22.0,1.0,0.0,90.0,27.0,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,146.0,,0.0,241.0,,0.0,21.0,150.0,0.0,0.0,,,,530.0,72.0,,0.0,,0.0,36.0,,,,5.0,0.0,0.0,0.0,,0.0,,824.0,0.0,34.0,,0.0,26.0,0.0,176.0,0.0,,,53.0,,,0.0,,2740.0,,,0.0,,3.0,87.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,50.0,,,0.0,,1.0,0.0,,5.0,,2.0,0.0,6.0,,0.0,0.0,,205.0,600.0,2.0,,28.0,,31.0,,0.0,39.0,,0.0,,,539.0,0.0,0.0,,0.0,69.0,0.0,,0.0,,0.0,0.0,0.0,,,15.0,18.0,14.0,12.0,0.0,65.0,21.0,,0.0,,,,2.0,,,,0.0,,0.0,0.0,,,,126.0,,6.0,328.0,,1.0,13.0,278.0,1.0,1.0,,,,683.0,70.0,,6.0,,6.0,34.0,,,,6.0,1.0,0.0,4.0,,0.0,,137.0,2.0,25.0,,0.0,12.0,2.0,148.0,0.0,,,3.0,,,7.0,,2763.0,,,0.0,,10.0,156.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-30,51.0,,,0.0,,7.0,0.0,,3.0,,10.0,0.0,4.0,,0.0,0.0,,222.0,695.0,4.0,,63.0,,55.0,,0.0,0.0,,0.0,,,594.0,15.0,0.0,,0.0,39.0,0.0,,0.0,,0.0,0.0,0.0,,,113.0,1.0,34.0,12.0,0.0,17.0,4.0,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,112.0,,0.0,394.0,,0.0,16.0,368.0,0.0,0.0,,,,648.0,90.0,,0.0,,0.0,24.0,,,,12.0,0.0,0.0,0.0,,0.0,,73.0,0.0,18.0,,0.0,463.0,2.0,148.0,3.0,,,6.0,,,6.0,,2420.0,,,6.0,,7.0,43.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31,18.0,,,0.0,,4.0,0.0,,0.0,,4.0,0.0,20.0,,1.0,0.0,,190.0,533.0,8.0,,47.0,,35.0,,0.0,0.0,,0.0,,,227.0,0.0,1.0,,0.0,117.0,0.0,,0.0,,0.0,0.0,0.0,,,36.0,3.0,113.0,3.0,6.0,42.0,59.0,,0.0,,,,0.0,,,,0.0,,0.0,2.0,,,,45.0,,0.0,368.0,,0.0,19.0,213.0,0.0,0.0,,,,613.0,79.0,,7.0,,0.0,21.0,,,,27.0,0.0,0.0,0.0,,0.0,,320.0,10.0,0.0,,0.0,758.0,1.0,82.0,0.0,,,1.0,,,12.0,,2879.0,,,3.0,,10.0,53.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-30,31.0,,,0.0,,0.0,1.0,,4.0,,6.0,0.0,0.0,,0.0,0.0,,294.0,696.0,2.0,,56.0,,56.0,,0.0,7.0,,0.0,,,252.0,0.0,0.0,,0.0,76.0,1.0,,0.0,,0.0,0.0,0.0,,,12.0,57.0,71.0,0.0,3.0,55.0,22.0,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,87.0,,0.0,380.0,,0.0,15.0,264.0,0.0,0.0,,,,683.0,55.0,,11.0,,0.0,19.0,,,,56.0,0.0,2.0,0.0,,0.0,,236.0,3.0,38.0,,0.0,452.0,2.0,129.0,0.0,,,2.0,,,16.0,,2501.0,,,0.0,,6.0,46.0,,0.0,0.0,0.0,0.0,9.0,0.0
2023-07-31,13.0,,,1.0,,0.0,0.0,,0.0,,8.0,0.0,2.0,,0.0,0.0,,256.0,433.0,7.0,,63.0,,22.0,,0.0,6.0,,0.0,,,227.0,31.0,6.0,,1.0,144.0,1.0,,0.0,,7.0,0.0,0.0,,,13.0,0.0,113.0,0.0,10.0,48.0,34.0,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,257.0,,0.0,371.0,,0.0,25.0,203.0,0.0,0.0,,,,782.0,111.0,,1.0,,0.0,11.0,,,,5.0,0.0,0.0,0.0,,0.0,,511.0,16.0,6.0,,0.0,520.0,2.0,126.0,0.0,,,12.0,,,9.0,,2141.0,,,1.0,,11.0,55.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-31,25.0,,,0.0,,1.0,0.0,,0.0,,3.0,0.0,8.0,,0.0,0.0,,282.0,387.0,7.0,,55.0,,52.0,,0.0,38.0,,0.0,,,372.0,0.0,2.0,,0.0,384.0,0.0,,0.0,,0.0,5.0,0.0,,,38.0,0.0,57.0,11.0,5.0,60.0,37.0,,0.0,,,,0.0,,,,0.0,,0.0,1.0,,,,144.0,,0.0,393.0,,0.0,26.0,216.0,0.0,0.0,,,,277.0,98.0,,49.0,,0.0,14.0,,,,23.0,0.0,0.0,2.0,,0.0,,239.0,7.0,0.0,,0.0,404.0,2.0,257.0,3.0,,,0.0,,,10.0,,2233.0,,,0.0,,17.0,79.0,,1.0,1.0,1.0,0.0,0.0,0.0
2023-09-30,12.0,,,0.0,,4.0,0.0,,433.0,,3.0,0.0,5.0,,0.0,0.0,,131.0,328.0,67.0,,77.0,,8.0,,0.0,84.0,,0.0,,,146.0,0.0,0.0,,0.0,261.0,0.0,,0.0,,9.0,0.0,0.0,,,1.0,0.0,46.0,7.0,2.0,29.0,33.0,,0.0,,,,3.0,,,,0.0,,2.0,0.0,,,,210.0,,0.0,269.0,,0.0,14.0,218.0,0.0,0.0,,,,312.0,161.0,,0.0,,0.0,26.0,,,,8.0,0.0,4.0,2.0,,0.0,,578.0,5.0,1.0,,0.0,291.0,7.0,261.0,3.0,,,0.0,,,6.0,,1888.0,,,0.0,,5.0,46.0,,0.0,0.0,0.0,4.0,0.0,0.0
2023-10-31,34.0,,,0.0,,2.0,0.0,,0.0,,8.0,2.0,0.0,,0.0,1.0,,190.0,569.0,1.0,,38.0,,29.0,,0.0,100.0,,0.0,,,244.0,10.0,3.0,,0.0,131.0,1.0,,0.0,,0.0,0.0,0.0,,,4.0,3.0,22.0,18.0,0.0,33.0,6515.0,,1.0,,,,0.0,,,,32.0,,0.0,0.0,,,,119.0,,0.0,353.0,,0.0,13.0,227.0,0.0,0.0,,,,562.0,131.0,,0.0,,0.0,3.0,,,,6.0,0.0,1.0,0.0,,0.0,,223.0,3.0,0.0,,0.0,173.0,3.0,429.0,0.0,,,6.0,,,7.0,,1973.0,,,0.0,,6.0,34.0,,0.0,0.0,0.0,0.0,0.0,1.0
2023-11-30,17.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.0,,0.0,0.0,,221.0,495.0,2.0,,101.0,,22.0,,1.0,97.0,,31.0,,,199.0,0.0,0.0,,0.0,463.0,2.0,,1.0,,0.0,0.0,9.0,,,15.0,0.0,42.0,5.0,0.0,84.0,6058.0,,1.0,,,,2.0,,,,48.0,,0.0,0.0,,,,172.0,,0.0,299.0,,0.0,13.0,309.0,0.0,0.0,,,,778.0,150.0,,0.0,,0.0,18.0,,,,2.0,0.0,0.0,0.0,,24.0,,8.0,0.0,34.0,,1.0,2330.0,0.0,220.0,0.0,,,6.0,,,2.0,,1994.0,,,0.0,,4.0,33.0,,1.0,0.0,0.0,0.0,0.0,0.0
